CLIENTNUM,Attrition_Flag,Customer_Age,Dependent_count,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,new_Credit_Limit,new_Avg_Utilization_Ratio,new_Avg_Open_To_Buy,new_level_Education_Level,new_level_Gender,new_level_Income_Category,new_level_Marital_Status
816082233,Existing Customer,35.0,3.0,Blue,30.0,5.0,1.0,3.0,1666.0,1.163,1311.0,33.0,2.0,9.6126e-05,0.9999,8547.0,0.195,6881.0,Graduate,M,$60K - $80K,Others
712396908,Existing Customer,57.0,2.0,Blue,48.0,5.0,2.0,2.0,680.0,1.19,1570.0,29.0,0.611,0.00011382,0.99989,2436.0,0.279,1756.0,Graduate,F,Less than $40K,Married
714885258,Existing Customer,44.0,4.0,Blue,37.0,5.0,1.0,2.0,972.0,1.707,1348.0,27.0,1.7,6.3492e-05,0.99994,4234.0,0.23,3262.0,Others,M,$80K - $120K,Others
709967358,Existing Customer,48.0,4.0,Blue,36.0,6.0,2.0,3.0,2362.0,1.708,1671.0,27.0,0.929,0.00023623,0.99976,30367.0,0.078,28005.0,Others,M,$80K - $120K,Single
753327333,Existing Customer,41.0,3.0,Blue,34.0,4.0,4.0,1.0,1291.0,0.653,1028.0,21.0,1.625,0.00014953,0.99985,13535.0,0.095,12244.0,Others,M,$80K - $120K,Married
806160108,Existing Customer,61.0,1.0,Blue,56.0,2.0,2.0,3.0,2517.0,1.831,1336.0,30.0,1.143,0.00017468,0.99983,3193.0,0.788,676.0,High School,M,$40K - $60K,Married
709327383,Existing Customer,45.0,2.0,Blue,37.0,6.0,1.0,2.0,1157.0,0.966,1207.0,21.0,0.909,5.5077e-05,0.99994,14470.0,0.08,13313.0,Graduate,F,Others,Married
806165208,Existing Customer,47.0,1.0,Blue,42.0,5.0,2.0,0.0,1800.0,0.906,1178.0,27.0,0.929,5.703e-05,0.99994,20979.0,0.086,19179.0,Others,M,$60K - $80K,Others
708508758,Attrited Customer,62.0,0.0,Blue,49.0,2.0,3.0,3.0,0.0,1.047,692.0,16.0,0.6,0.99616,0.0038363,1438.3,0.0,1438.3,Graduate,F,Less than $40K,Married
784725333,Existing Customer,41.0,3.0,Blue,33.0,4.0,2.0,1.0,680.0,1.608,931.0,18.0,1.571,6.9242e-05,0.99993,4470.0,0.152,3790.0,High School,M,$40K - $60K,Married
811604133,Existing Customer,47.0,4.0,Blue,36.0,3.0,3.0,2.0,1560.0,0.573,1126.0,23.0,0.353,0.00020735,0.99979,2492.0,0.626,932.0,Others,F,Less than $40K,Single
789124683,Existing Customer,54.0,2.0,Blue,42.0,4.0,2.0,3.0,0.0,1.075,1110.0,21.0,0.75,0.00021042,0.99979,12217.0,0.0,12217.0,Others,M,$80K - $120K,Married
771071958,Existing Customer,41.0,3.0,Blue,28.0,6.0,1.0,2.0,1669.0,0.797,1051.0,22.0,0.833,5.7151e-05,0.99994,7768.0,0.215,6099.0,Graduate,F,Less than $40K,Single
720466383,Existing Customer,59.0,1.0,Blue,46.0,4.0,1.0,2.0,1374.0,0.921,1197.0,23.0,1.3,5.0256e-05,0.99995,14784.0,0.093,4290.265418994413,High School,M,$40K - $60K,Others
804424383,Existing Customer,63.0,1.0,Blue,56.0,3.0,3.0,2.0,1010.0,0.843,1904.0,40.0,1.0,0.00018558,0.99981,10215.0,0.099,9205.0,Others,M,$60K - $80K,Married
718813833,Existing Customer,44.0,3.0,Blue,34.0,5.0,2.0,2.0,0.0,0.525,1052.0,18.0,1.571,0.00012144,0.99988,10100.0,0.0,10100.0,Uneducated,F,Others,Single
806624208,Existing Customer,47.0,4.0,Blue,42.0,6.0,0.0,0.0,1362.0,0.739,1045.0,38.0,0.9,7.6642e-06,0.99999,4785.0,0.285,3423.0,High School,M,$40K - $60K,Married
778348233,Existing Customer,53.0,3.0,Blue,33.0,3.0,2.0,3.0,1811.0,0.977,1038.0,25.0,2.571,0.00021834,0.99978,2753.0,0.18023,942.0,Others,M,$80K - $120K,Married
712991808,Existing Customer,53.0,2.0,Blue,48.0,2.0,5.0,1.0,1690.0,1.323,1596.0,26.0,1.6,0.00012458,0.99988,2451.0,0.21989772727272727,761.0,Uneducated,M,$60K - $80K,Married
709029408,Existing Customer,41.0,4.0,Blue,36.0,4.0,1.0,2.0,2517.0,1.726,1589.0,24.0,1.667,5.7762e-05,0.99994,8923.0,0.282,6406.0,Graduate,M,$60K - $80K,Married
788658483,Existing Customer,53.0,2.0,Blue,38.0,5.0,2.0,3.0,1490.0,1.75,1411.0,28.0,1.0,0.00018612,0.99981,2650.0,0.562,1160.0,College,F,Less than $40K,Married
787937058,Existing Customer,58.0,0.0,Blue,49.0,6.0,2.0,2.0,1696.0,0.519,1291.0,24.0,0.714,9.7673e-05,0.9999,12555.0,0.135,10859.0,Graduate,M,$80K - $120K,Married
715318008,Existing Customer,55.0,1.0,Blue,36.0,4.0,2.0,1.0,1914.0,0.51,1407.0,43.0,0.483,6.2639e-05,0.99994,3520.0,0.544,1606.0,College,F,Less than $40K,Single
713962233,Existing Customer,55.0,3.0,Blue,36.0,6.0,2.0,3.0,2298.0,1.724,1877.0,37.0,1.176,0.00019864,0.9998,3035.0,0.757,737.0,Graduate,F,Less than $40K,Married
785432733,Existing Customer,42.0,4.0,Gold,36.0,2.0,3.0,3.0,0.0,0.865,966.0,22.0,1.2,0.00035532,0.99964,3379.494425087108,0.0,2609.267761864645,High School,F,Less than $40K,Married
715190283,Existing Customer,57.0,1.0,Blue,49.0,3.0,3.0,2.0,886.0,1.32,1464.0,28.0,0.556,0.00016883,0.99983,3672.0,0.241,2786.0,Graduate,F,$40K - $60K,Others
708300483,Attrited Customer,66.0,0.0,Blue,56.0,5.0,4.0,3.0,605.0,1.052,704.0,16.0,0.143,0.9978,0.00219708,7882.0,0.077,7277.0,Others,F,Others,Married
827111283,Existing Customer,45.0,3.0,Blue,41.0,2.0,2.0,2.0,578.0,1.042,1109.0,28.0,0.474,0.00011811,0.99988,32426.0,0.018,31848.0,Graduate,M,$80K - $120K,Single
758551608,Existing Customer,51.0,2.0,Blue,44.0,4.0,1.0,0.0,2204.0,0.803,1347.0,28.0,0.556,2.2331e-05,0.99998,6205.0,0.355,4001.0,Others,M,$40K - $60K,Married
773146383,Existing Customer,50.0,1.0,Silver,43.0,3.0,2.0,3.0,2517.0,1.449,1756.0,33.0,1.2,0.00015785,0.99984,17304.0,0.145,4290.265418994413,College,F,$40K - $60K,Single
778493808,Existing Customer,49.0,3.0,Blue,37.0,5.0,2.0,1.0,0.0,1.214,1756.0,32.0,1.0,6.9242e-05,0.99993,3906.0,0.0,3906.0,High School,M,$60K - $80K,Married
720572508,Existing Customer,38.0,4.0,Blue,28.0,2.0,3.0,3.0,2055.0,0.977,1042.0,23.0,0.917,0.00031726,0.99968,9830.0,0.209,7775.0,Graduate,F,Others,Single
712661433,Existing Customer,49.0,4.0,Blue,30.0,3.0,2.0,3.0,0.0,1.621,1444.0,28.0,1.333,0.00020643,0.99979,34516.0,0.0,34516.0,Uneducated,M,$80K - $120K,Single
789172683,Existing Customer,56.0,2.0,Blue,45.0,6.0,2.0,0.0,1430.0,2.316,1741.0,27.0,0.588,6.0759e-05,0.99994,2283.0,0.626,853.0,Others,M,$60K - $80K,Married
738406533,Existing Customer,59.0,1.0,Blue,52.0,3.0,2.0,2.0,2020.0,2.357,1719.0,27.0,1.7,0.0001546,0.99985,2548.0,0.793,528.0,Others,M,$40K - $60K,Married
799723908,Existing Customer,46.0,3.0,Blue,40.0,4.0,3.0,3.0,1435.0,0.787,1217.0,27.0,0.8,0.00030516,0.99969,19458.0,0.074,18023.0,High School,M,$80K - $120K,Married
771490833,Existing Customer,52.0,1.0,Blue,40.0,5.0,1.0,1.0,1227.0,0.624,1140.0,40.0,0.6,3.031e-05,0.99997,4745.0,0.259,3518.0,College,M,$80K - $120K,Single
720756708,Existing Customer,52.0,3.0,Blue,41.0,6.0,3.0,2.0,1549.0,1.321,1878.0,30.0,1.143,0.00020516,0.99979,2622.0,0.591,1073.0,Others,F,Less than $40K,Married
779471883,Attrited Customer,54.0,1.0,Blue,40.0,2.0,3.0,1.0,808.0,0.997,705.0,19.0,0.9,0.99028,0.00972,1438.3,0.562,630.3,Graduate,F,Less than $40K,Married
711525033,Existing Customer,66.0,0.0,Blue,54.0,3.0,4.0,2.0,2179.0,1.224,1946.0,38.0,1.923,0.00018134,0.99982,3171.0,0.687,992.0,High School,F,Less than $40K,Married
712813458,Existing Customer,49.0,2.0,Blue,36.0,4.0,2.0,0.0,2517.0,0.664,1414.0,35.0,0.25,4.6151e-05,0.99995,19763.0,0.127,17246.0,Others,M,Others,Married
714374133,Attrited Customer,56.0,2.0,Blue,36.0,1.0,3.0,3.0,0.0,1.041,602.0,15.0,0.364,0.99671,0.00329379,15769.0,0.0,15769.0,Graduate,M,Others,Married
717891558,Existing Customer,49.0,4.0,Blue,36.0,6.0,4.0,2.0,2200.0,0.678,1052.0,32.0,0.6,0.00022797,0.99977,3298.0,0.667,1098.0,Graduate,F,Less than $40K,Others
716632758,Existing Customer,49.0,3.0,Blue,36.0,2.0,2.0,0.0,2363.0,0.75,1295.0,40.0,0.6,4.3568e-05,0.99996,2802.0,0.843,439.0,Graduate,F,Less than $40K,Single
768563658,Existing Customer,56.0,2.0,Blue,50.0,4.0,2.0,3.0,1880.0,1.107,1424.0,29.0,1.417,0.00019683,0.9998,4458.0,0.422,2578.0,Uneducated,M,$40K - $60K,Married
711427458,Existing Customer,44.0,5.0,Blue,35.0,4.0,1.0,2.0,978.0,2.275,1359.0,25.0,1.083,5.6861e-05,0.99994,6273.0,0.156,5295.0,Graduate,F,Others,Married
714091983,Existing Customer,42.0,2.0,Blue,34.0,4.0,4.0,3.0,1753.0,0.69,1168.0,27.0,1.25,0.00035539,0.99964,3336.0,0.525,1583.0,High School,M,$60K - $80K,Single
787584108,Existing Customer,55.0,3.0,Blue,47.0,4.0,2.0,3.0,2016.0,0.901,1097.0,33.0,0.833,0.00021834,0.99978,3436.0,0.18023,1420.0,Others,M,$80K - $120K,Married
712030833,Attrited Customer,48.0,2.0,Silver,35.0,2.0,4.0,4.0,0.0,0.763,691.0,15.0,0.5,0.99823,0.00177065,9932.348780487804,0.0,9603.779386590584,Graduate,M,$60K - $80K,Married
711481533,Existing Customer,39.0,1.0,Blue,33.0,5.0,3.0,3.0,1251.0,0.944,1316.0,28.0,1.154,0.00027604,0.99972,5926.0,0.211,4675.0,High School,M,$60K - $80K,Others
710082708,Existing Customer,44.0,4.0,Blue,32.0,2.0,4.0,2.0,2102.0,0.997,1276.0,26.0,0.733,0.00026824,0.99973,23957.0,0.088,21855.0,Others,M,Others,Single
708155733,Existing Customer,53.0,2.0,Blue,44.0,4.0,2.0,2.0,1634.0,0.989,1289.0,23.0,0.917,0.00011065,0.99989,14734.0,0.111,13100.0,High School,M,Others,Single
788979258,Existing Customer,51.0,4.0,Silver,38.0,4.0,1.0,4.0,1515.0,0.592,1293.0,32.0,0.6,0.00015398,0.99985,34516.0,0.044,33001.0,Uneducated,M,$80K - $120K,Single
807986133,Existing Customer,57.0,2.0,Blue,52.0,5.0,3.0,3.0,1817.0,0.62,1353.0,35.0,0.667,0.00029411,0.99971,6584.0,0.276,4767.0,College,M,$60K - $80K,Married
788730933,Existing Customer,44.0,2.0,Blue,20.0,6.0,3.0,3.0,1468.0,1.004,1132.0,28.0,0.556,0.00031104,0.99969,2084.0,0.704,616.0,Uneducated,F,Less than $40K,Single
711314058,Existing Customer,49.0,2.0,Blue,32.0,2.0,2.0,2.0,1107.0,1.715,1670.0,17.0,2.4,0.00011382,0.99989,1687.0,0.656,580.0,Graduate,M,$60K - $80K,Married
717975333,Existing Customer,50.0,2.0,Blue,38.0,6.0,2.0,2.0,1330.0,1.072,837.0,15.0,2.0,0.00016471,0.99984,25300.0,0.053,23970.0,Others,M,$80K - $120K,Married
715971108,Existing Customer,51.0,4.0,Blue,42.0,3.0,2.0,3.0,1763.0,1.266,1550.0,41.0,1.05,0.00020077,0.9998,34516.0,0.051,32753.0,Graduate,M,Others,Single
720096558,Existing Customer,55.0,2.0,Blue,42.0,5.0,3.0,3.0,1034.0,0.758,1540.0,36.0,0.286,0.00030251,0.9997,2216.0,0.467,1182.0,Graduate,F,Less than $40K,Married
719580033,Existing Customer,54.0,1.0,Blue,43.0,4.0,2.0,3.0,2030.0,0.769,1256.0,21.0,0.4,0.00017969,0.99982,2910.0,0.17537142857142857,880.0,Graduate,M,$60K - $80K,Others
820582308,Existing Customer,42.0,5.0,Blue,37.0,6.0,2.0,2.0,1528.0,0.414,1394.0,35.0,0.522,0.00012082,0.99988,22913.0,0.067,21385.0,Uneducated,M,$80K - $120K,Married
789973308,Existing Customer,44.0,1.0,Blue,35.0,3.0,3.0,3.0,1932.0,1.312,1341.0,24.0,1.182,0.00027607,0.99972,24312.0,0.079,22380.0,College,M,$60K - $80K,Single
712876233,Existing Customer,53.0,2.0,Blue,36.0,5.0,3.0,2.0,1515.0,0.857,1289.0,33.0,0.435,0.00017987,0.99982,5272.0,0.287,3757.0,Graduate,M,$80K - $120K,Single
804595158,Existing Customer,44.0,4.0,Blue,36.0,6.0,4.0,2.0,2517.0,0.475,1112.0,23.0,1.875,0.00022797,0.99977,7000.0,0.36,4483.0,Graduate,F,Less than $40K,Single
714826758,Existing Customer,37.0,3.0,Blue,29.0,4.0,4.0,2.0,1801.0,0.751,2339.0,57.0,0.966,0.00023192,0.99977,3528.4321951219513,0.256,5237.0,Uneducated,F,Less than $40K,Single
779058108,Existing Customer,49.0,3.0,Blue,30.0,6.0,1.0,2.0,1823.0,0.703,1468.0,23.0,0.353,5.7151e-05,0.99994,2536.0,0.1674,713.0,Graduate,M,$60K - $80K,Others
710790258,Existing Customer,47.0,2.0,Blue,38.0,6.0,3.0,2.0,1899.0,0.85,1334.0,35.0,0.4,0.00017987,0.99982,28904.0,0.066,27005.0,Graduate,M,$80K - $120K,Married
715623483,Existing Customer,47.0,3.0,Blue,37.0,4.0,4.0,0.0,1695.0,1.242,1457.0,41.0,1.412,8.3212e-05,0.99992,8567.0,0.198,6872.0,Graduate,M,$60K - $80K,Married
715156383,Existing Customer,44.0,1.0,Blue,36.0,6.0,2.0,2.0,1533.0,0.924,1603.0,29.0,0.526,0.00011743,0.99988,34516.0,0.044,32983.0,Others,M,Others,Others
711013983,Attrited Customer,55.0,4.0,Blue,45.0,2.0,4.0,3.0,0.0,0.585,615.0,12.0,0.714,0.99763,0.00236635,2158.0,0.0,2158.0,Others,F,$40K - $60K,Married
755420433,Existing Customer,59.0,1.0,Blue,52.0,2.0,3.0,3.0,1417.0,0.383,1068.0,20.0,0.818,0.00028395,0.99972,10133.0,0.14,8716.0,Graduate,F,Others,Married
794543958,Existing Customer,53.0,1.0,Blue,35.0,5.0,4.0,2.0,1219.0,1.129,1590.0,27.0,2.0,0.00020404,0.9998,34516.0,0.035,33297.0,Graduate,M,$80K - $120K,Others
716396358,Existing Customer,52.0,2.0,Blue,47.0,5.0,3.0,0.0,1910.0,0.921,1531.0,35.0,0.667,6.6354e-05,0.99993,3085.0,0.619,1175.0,Graduate,M,$60K - $80K,Married
715398033,Existing Customer,53.0,2.0,Blue,35.0,4.0,2.0,1.0,2056.0,0.607,1212.0,31.0,0.722,6.6728e-05,0.99993,19040.0,0.108,16984.0,High School,M,Others,Single
711743883,Existing Customer,43.0,3.0,Blue,35.0,5.0,2.0,3.0,0.0,0.483,1237.0,32.0,0.6,0.00020424,0.9998,4026.0,0.0,4026.0,Uneducated,F,Less than $40K,Single
719720058,Existing Customer,44.0,3.0,Blue,31.0,4.0,3.0,1.0,837.0,1.932,1413.0,14.0,1.8,0.00010943,0.99989,12756.0,0.066,11919.0,High School,M,$60K - $80K,Single
778992108,Existing Customer,57.0,2.0,Blue,45.0,5.0,3.0,3.0,0.0,1.702,1516.0,29.0,1.636,0.00033251,0.99967,5266.0,0.0,5266.0,Others,M,Others,Married
717539808,Existing Customer,51.0,2.0,Blue,36.0,3.0,2.0,2.0,0.0,0.731,1276.0,21.0,1.333,0.00011065,0.99989,4048.6179591836735,0.0,2609.267761864645,High School,F,Less than $40K,Single
714070758,Existing Customer,49.0,4.0,Blue,38.0,4.0,3.0,0.0,1953.0,0.875,1564.0,35.0,2.182,6.765e-05,0.99993,31302.0,0.062,29349.0,High School,M,$80K - $120K,Single
714107958,Existing Customer,45.0,1.0,Blue,36.0,4.0,4.0,3.0,0.0,0.579,1465.0,34.0,0.619,0.00034315,0.99966,6576.0,0.0,6576.0,Graduate,M,$40K - $60K,Single
789140283,Existing Customer,53.0,0.0,Blue,42.0,5.0,4.0,1.0,2037.0,0.85,1286.0,29.0,0.933,0.0001125,0.99989,2664.0,0.15385632183908046,627.0,Graduate,M,$80K - $120K,Single
715550508,Existing Customer,45.0,3.0,Blue,28.0,5.0,1.0,2.0,2440.0,1.705,1312.0,20.0,1.222,6.282e-05,0.99994,2535.0,0.19972413793103447,95.0,Others,F,Others,Married
719712633,Existing Customer,64.0,1.0,Blue,52.0,6.0,4.0,3.0,895.0,1.656,1673.0,32.0,0.882,0.00034315,0.99966,1709.0,0.524,814.0,Graduate,M,Less than $40K,Married
772629333,Existing Customer,45.0,3.0,Blue,35.0,5.0,4.0,2.0,1200.0,0.597,1313.0,30.0,0.304,0.00022556,0.99977,3454.0,0.347,2254.0,Graduate,M,$40K - $60K,Married
720336708,Existing Customer,53.0,3.0,Blue,35.0,5.0,3.0,2.0,1706.0,1.047,1609.0,42.0,0.68,0.00027008,0.99973,3789.0,0.45,2083.0,Others,M,$40K - $60K,Married
802013583,Existing Customer,56.0,3.0,Blue,50.0,3.0,2.0,0.0,2250.0,0.576,1158.0,19.0,0.727,4.2358e-05,0.99996,9689.0,0.232,7439.0,College,M,Others,Married
711887583,Attrited Customer,47.0,2.0,Blue,37.0,2.0,3.0,3.0,1628.0,0.696,836.0,18.0,0.385,0.997,0.00299743,5449.0,0.299,3821.0,Others,M,$80K - $120K,Married
714778833,Existing Customer,49.0,3.0,Blue,43.0,4.0,4.0,0.0,1960.0,0.619,1289.0,22.0,1.0,8.0901e-05,0.99992,23032.0,0.085,21072.0,College,F,Others,Single
713843283,Existing Customer,41.0,3.0,Silver,34.0,5.0,3.0,3.0,2053.0,1.034,1487.0,26.0,0.733,0.00031177,0.99969,10041.612280701755,0.059,8401.517715827338,Others,F,Others,Married
779155158,Existing Customer,53.0,3.0,Blue,34.0,6.0,2.0,2.0,1264.0,0.562,1259.0,33.0,0.5,0.00011811,0.99988,2940.0,0.12929126213592232,1676.0,Graduate,M,Others,Married
721091583,Existing Customer,44.0,2.0,Blue,32.0,3.0,3.0,3.0,1879.0,0.788,1298.0,15.0,1.5,0.00030251,0.9997,3031.0,0.62,1152.0,Graduate,F,Less than $40K,Single
713572683,Existing Customer,44.0,3.0,Blue,25.0,3.0,3.0,0.0,0.0,0.883,1226.0,34.0,0.789,6.6935e-05,0.99993,1862.0,0.0,1862.0,High School,M,$60K - $80K,Others
716657058,Existing Customer,43.0,4.0,Blue,33.0,2.0,3.0,3.0,926.0,0.762,1566.0,37.0,0.542,0.00037329,0.99963,3415.230769230769,0.111,2609.267761864645,Others,F,Less than $40K,Married
779509983,Existing Customer,53.0,2.0,Blue,36.0,6.0,1.0,2.0,931.0,0.828,1022.0,21.0,1.1,6.4807e-05,0.99994,34516.0,0.027,33585.0,Others,M,Others,Single
717929133,Existing Customer,44.0,1.0,Blue,36.0,5.0,2.0,3.0,2440.0,1.283,1235.0,30.0,0.667,0.00018475,0.99982,14450.0,0.169,12010.0,Uneducated,M,$60K - $80K,Married
808284783,Existing Customer,62.0,1.0,Blue,56.0,6.0,0.0,0.0,0.0,0.813,1951.0,44.0,1.095,7.7559e-06,0.99999,1438.3,0.0,1438.3,Others,F,Less than $40K,Married
708476808,Existing Customer,54.0,4.0,Blue,36.0,6.0,3.0,2.0,1960.0,0.618,1047.0,31.0,0.824,0.00020735,0.99979,33791.0,0.058,31831.0,Others,M,Others,Others
710916408,Existing Customer,57.0,4.0,Blue,39.0,4.0,3.0,0.0,1886.0,0.56,1342.0,32.0,0.391,6.9589e-05,0.99993,8466.0,0.223,6580.0,Graduate,M,$60K - $80K,Married
708492558,Existing Customer,42.0,3.0,Blue,36.0,5.0,3.0,3.0,865.0,0.939,1107.0,21.0,1.625,0.00034503,0.99965,15088.0,0.057,14223.0,Others,M,$60K - $80K,Married
799825758,Existing Customer,42.0,4.0,Blue,36.0,5.0,1.0,2.0,1674.0,0.588,1251.0,35.0,0.346,5.6153e-05,0.99994,3263.0,0.513,1589.0,High School,M,$60K - $80K,Others
718619883,Existing Customer,54.0,0.0,Blue,36.0,2.0,2.0,2.0,706.0,1.674,1305.0,24.0,3.0,0.00010043,0.9999,1494.0,0.473,788.0,Uneducated,F,Less than $40K,Married
711844758,Existing Customer,48.0,3.0,Blue,35.0,6.0,1.0,0.0,1294.0,0.791,1388.0,37.0,1.056,2.1081e-05,0.99998,13551.0,0.095,12257.0,Graduate,M,$80K - $120K,Single
714798783,Existing Customer,49.0,1.0,Blue,36.0,6.0,2.0,2.0,895.0,1.826,1235.0,18.0,1.571,0.00010684,0.99989,18886.0,0.047,17991.0,Graduate,M,$80K - $120K,Single
826762908,Existing Customer,52.0,3.0,Blue,48.0,3.0,2.0,0.0,1273.0,1.024,2089.0,36.0,1.118,4.2354e-05,0.99996,11976.0,0.106,10703.0,High School,M,$80K - $120K,Others
771894558,Existing Customer,50.0,3.0,Blue,39.0,4.0,1.0,4.0,1559.0,1.873,1626.0,25.0,0.786,0.00015942,0.99984,9964.0,0.156,8405.0,High School,M,$80K - $120K,Single
721074183,Existing Customer,49.0,1.0,Blue,36.0,4.0,6.0,3.0,1196.0,0.712,1111.0,24.0,1.0,0.00032436,0.99968,8481.875,0.05,22963.0,Others,M,$60K - $80K,Married
715259583,Existing Customer,53.0,2.0,Blue,44.0,3.0,2.0,3.0,1901.0,0.816,1553.0,38.0,1.0,0.0001861,0.99981,5362.0,0.355,3461.0,High School,F,Less than $40K,Married
718414008,Existing Customer,50.0,2.0,Blue,36.0,3.0,2.0,2.0,1023.0,1.004,1064.0,13.0,0.625,0.00011382,0.99989,34516.0,0.03,33493.0,Graduate,M,Others,Single
719666283,Existing Customer,55.0,1.0,Blue,36.0,4.0,1.0,0.0,1951.0,0.766,1243.0,29.0,0.611,2.7596e-05,0.99997,3174.0,0.615,1223.0,Others,F,Less than $40K,Married
714877233,Existing Customer,53.0,1.0,Blue,47.0,3.0,2.0,2.0,1836.0,1.584,1659.0,38.0,1.533,0.00010386,0.9999,12262.0,0.15,10426.0,High School,M,$80K - $120K,Married
785387883,Existing Customer,47.0,3.0,Blue,41.0,4.0,3.0,3.0,1540.0,0.566,1594.0,47.0,0.382,0.00030516,0.99969,3788.0,0.407,2248.0,High School,F,$40K - $60K,Single
771075258,Existing Customer,55.0,2.0,Silver,42.0,2.0,3.0,2.0,1527.0,0.526,1268.0,42.0,0.355,0.00015801,0.99984,34516.0,0.044,32989.0,College,M,Others,Single
711318033,Existing Customer,47.0,3.0,Blue,36.0,4.0,2.0,2.0,0.0,0.676,1304.0,24.0,0.846,0.00011811,0.99988,2926.0,0.0,2926.0,Graduate,M,$60K - $80K,Single
783554958,Existing Customer,58.0,4.0,Blue,52.0,6.0,1.0,0.0,0.0,0.567,1368.0,30.0,0.364,2.1307e-05,0.99998,32090.0,0.0,32090.0,Graduate,M,Others,Single
720201033,Attrited Customer,53.0,2.0,Blue,41.0,3.0,3.0,2.0,2227.0,0.622,720.0,23.0,0.353,0.99447,0.00553,11669.0,0.191,9442.0,Graduate,M,$80K - $120K,Married
718039683,Existing Customer,52.0,2.0,Blue,45.0,3.0,1.0,2.0,1300.0,0.846,1521.0,29.0,1.417,5.3542e-05,0.99995,5452.296969696969,0.096,12232.0,High School,M,$40K - $60K,Single
